question_id,session_id,source_set,type,question,option_a,option_b,option_c,option_d,correct_key,explanation,difficulty,topic,subtopics
q01,ds_07,mcq_assignment,single,"What does the cost function (MSE) measure in linear regression?","Average squared difference between predicted and actual values","The slope of the fitted line","The number of features","The learning rate",A,"MSE is the mean of squared residuals between predictions and actual targets.",easy,Linear Regression,MSE cost function
q02,ds_07,mcq_assignment,single,"What does the learning rate control in gradient descent?","The size of the step taken toward the minimum","The number of features in the model","The intercept term","The value of R-squared",A,"The learning rate (alpha) scales the size of each parameter update step.",easy,Linear Regression,learning rate
q03,ds_07,mcq_assignment,single,"In gradient descent, what does the learning rate control?","The number of iterations","The size of each update step toward the minimum","The number of data points","The target variable",B,"The learning rate sets how large each gradient-descent update step is.",easy,Linear Regression,learning rate
q04,ds_07,mcq_assignment,single,"What does an R-squared value of 1.0 indicate?","The model explains all variance in the data","The model is overfit","The learning rate is optimal","There are no features",A,"R-squared of 1.0 means the model perfectly explains the variance in the target.",medium,Linear Regression,R-squared
q05,ds_07,mcq_assignment,single,"Using the model price = 50 + 30 * size from the lecture example, what is the predicted price for size = 4?","170","120","200","90",A,"Substituting size=4: 50 + 30*4 = 170.",easy,Linear Regression,MSE cost function
q06,ds_07,mcq_assignment,single,"In Ridge regression, what is the effect of increasing the L2 regularization parameter lambda?","It shrinks the coefficients toward zero","It increases the learning rate","It adds more features","It removes the intercept",A,"Increasing L2 lambda penalizes large coefficients and shrinks them toward zero.",hard,Regularization,Ridge regression
q07,ds_07,mcq_assignment,single,"Which metric is best for evaluating a linear regression model?","R-squared","Mean Squared Error","Mean Absolute Error","Classification accuracy",A,"R-squared summarizes explained variance; MSE and MAE are also valid error metrics.",medium,Linear Regression,R-squared
q08,ds_07,mcq_assignment,binary,"True or False: Gradient descent is guaranteed to find the global minimum for the linear regression MSE cost function.","True","False","","",True,"The MSE cost for linear regression is convex, so gradient descent converges to the global minimum.",medium,Linear Regression,gradient descent
q09,ds_07,mcq_assignment,single,"Which of the following is an assumption of linear regression?","A linear relationship between features and target","Features must be categorical","The target must be binary","There is no intercept term",A,"Linear regression assumes a linear relationship between the features and the target.",medium,Linear Regression,assumptions of linear regression
q10,ds_07,mcq_assignment,single,"If the learning rate is set too high in gradient descent, what is likely to happen?","The cost may diverge and fail to converge","The model trains faster with no downside","R-squared always becomes negative","The number of features increases",A,"Too large a learning rate can cause the updates to overshoot and the cost to diverge.",medium,Linear Regression,learning rate
q11,ds_07,mcq_assignment,multi,"Which of the following are components of the linear regression training process? (Select all that apply)","Cost function (MSE)","Gradient descent","Learning rate","Convolution layers",A,"Training uses the MSE cost, gradient descent, and a learning rate; convolution layers are unrelated.",medium,Linear Regression,gradient descent
q12,ds_07,mcq_assignment,single,"What symbol commonly denotes the learning rate?","alpha","beta","sigma","lambda",E,"The learning rate is conventionally denoted by alpha.",easy,Linear Regression,learning rate
q13,ds_07,mcq_assignment,single,"What is the goal of minimizing the MSE cost function?","To find parameters that best fit the data","To increase the number of epochs","To maximize the learning rate","To add regularization",A,"Minimizing MSE finds the parameters that make predictions closest to the actual values.",easy,Linear Regression,MSE cost function
q14,ds_07,mcq_assignment,single,"As gradient descent iterates, the cost function value typically...","Decreases toward a minimum","Increases without bound","Stays exactly constant","Oscillates randomly forever",A,"With an appropriate learning rate the cost decreases each iteration toward the minimum.",easy,Linear Regression,gradient descent
q15,ds_07,mcq_assignment,single,"What does a low R-squared value suggest about a regression model?","The model explains little of the variance in the target","The model is perfect","The learning rate is zero","There are too many data points",A,"A low R-squared means the model accounts for only a small fraction of the variance.",easy,Linear Regression,R-squared
