Course,Topic,Unit,What to Cover,Unit Type,PPT,Code Files,Embedded links,Code File,S3 Links,Final Status,Given for Loading,Beta Status,Gamma Status,Review / Updation,Prod Status,Unit Link,s-id,t-id
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Introduction to Computer Vision,"What is Computer Vision?
Real-world applications (autonomous vehicles, healthcare, security, retail, AR/VR)
Human visual system vs machine vision
Historical milestones (from edge detection to deep learning era)
Current industry landscape and career opportunities",Session,Introduction to Computer Vision,,https://docs.google.com/presentation/d/e/2PACX-1vSKGEPwx3m4DznEV8kq70mLt1NhBpRzDPJ89s528v5uzfS9jvvedCGSvhRgljep7_HuPH5GydPPgAtI/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/14-04-2026-introductiontoComputerVision-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=3d43a5e2-5b6c-4c34-916a-deeb0b659b61&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,3d43a5e2-5b6c-4c34-916a-deeb0b659b61,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Introduction to Computer Vision,,Tutorial,Introduction to CV - TR - DOC Introduction to CV MCQ-Introduction to CV.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=4ecbf248-4379-4efb-8fb5-c670294c4959&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,4ecbf248-4379-4efb-8fb5-c670294c4959,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Digital Image Fundamentals,"Image formation process (pinhole camera model)
Digital image representation (pixels, resolution, bit depth)
Color models: RGB, Grayscale, HSV, LAB
Image types and formats (JPEG, PNG, BMP, TIFF)
Image as NumPy arrays",Session,Digital Image Fundamentals,,https://docs.google.com/presentation/d/e/2PACX-1vTwwzs1cVqacD0PTK2mnvKwOOtt49xtoYMvsI3EJ0_T6Ta8BJ0axvWWDOmhdD0Xskp8u9NZlrsurIxf/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/11-04-2026-digitalImageFundamentals-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=516371e3-8543-4dd4-a812-bb801b4498b0&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,516371e3-8543-4dd4-a812-bb801b4498b0,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Digital Image Fundamentals Implementation,"Hands-on: Loading, displaying, manipulating images with OpenCV & PIL",Session,Digital Image Fundamentals Implementation,Digital Image Fundamentals Implementation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vTQWpfP5kvAx3D4C0LMoFadFM9F1GYsgwtaXkhTHn9ZpF9jmuOesijVDBVbV1dM9-zh-UBSGS0Ll6Vl/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/11-04-2026-digitalImageFundamentalsImplementation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=663440ec-dda6-4974-902b-1e01aa09e576&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,663440ec-dda6-4974-902b-1e01aa09e576,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Digital Image Fundamentals,,Tutorial,Digital Image Fundamentals - TR - Doc Digital Image Fundamentals MCQ-Digital Image Fundamentals.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=b5949ea9-86e7-4039-a590-b5cbccc11604&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,b5949ea9-86e7-4039-a590-b5cbccc11604,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Digital Image Fundamentals,,MCQ Practice,MCQ Practice - 1 MCQs_Practice-1.zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=f93ff5f3-ffb0-428e-8ce8-452d2e7481de&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,f93ff5f3-ffb0-428e-8ce8-452d2e7481de,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Digital Image Fundamentals,Coding Assignment,Coding Assignment,Code Assignment 1,,,,,Coding assignment completed,Yes,Done,,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=877554f5-c555-4654-aa6b-3cab6dbd16fc&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,877554f5-c555-4654-aa6b-3cab6dbd16fc,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Foundations of Filtering & Convolution,"What is filtering, the kernel,
smoothing & sharpening, 
how convolution works, and its connection to CNNs",Session,Foundations of Filtering & Convolution,,https://docs.google.com/presentation/d/e/2PACX-1vQhkBMZw8XNnAxNFdjfw88wiILiZw2TBE7lsMkjj1w8Y5M6MPxqbKL4O1Gegir5CPHML9PcYMKvUit8/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/11-04-2026-foundationsofFilteringAndConvolution-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=6df37cc5-f41a-4fd2-a9d5-a0df897a05d8&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,6df37cc5-f41a-4fd2-a9d5-a0df897a05d8,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Foundations of Filtering & Convolution,,Tutorial,Foundations of Filtering & Convolution - TR - Doc Foundations of Filtering & Convolution MCQ-Foundations of Filtering & Convolution.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=423d7738-3a45-42bc-ac6c-d5ce3d22dfc4&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,423d7738-3a45-42bc-ac6c-d5ce3d22dfc4,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Foundations of Filtering & Convolution,,MCQ Practice,MCQ - Foundations of Filtering & Convolution MCQs_Practice-2.zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=cec86a62-07ce-4913-aa37-16d0f04d7863&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,cec86a62-07ce-4913-aa37-16d0f04d7863,1694a86f-d984-4d0a-9ef2-b5f2106a9007
